ES-Tags,Frequency,SL-Tags,Frequency
measurements,6,water,71
ocean,213,water-management,21
remote-sensing,6,construction,2
thermohaline-circulation,10,planning,1
oceanography,88,diy,2
geochronology,2,gardening,6
atmosphere,20,home,4
waves,24,greywater,6
atmosphere-modelling,2,animals,1
coriolis,3,ponds,3
enso,6,virtual-water,1
ocean-currents,27,waste,1
salinity,10,recycling,6
ocean-models,3,water-conservation,6
paleoclimatology,6,aquarium,1
rivers,13,balanced-ecosystems,1
geophysics,16,heating,3
models,20,economics,2
geodynamics,3,waste-water,6
planetary-science,7,manufacturing,1
software,4,mining,2
netcdf,2,seawater,6
nwp,1,energy,9
in-situ-measurements,2,energy-efficiency,1
precipitation,3,firewood,1
paleogeography,3,vertical-gardening,1
sea-level,59,biomass,1
geology,15,biogas,1
hydrology,35,biodiesel,1
water-table,10,pollution,4
antarctic,9,algae,1
tides,14,electricity,5
terminology,3,water-heating,2
sea-ice,15,pump-capacity,1
cryosphere,4,statistics,1
climate,13,food,3
atmospheric-circulation,1,carbon-footprint,1
climate-models,2,plastic-alternatives,1
tsunami,2,plastic-bottles,1
modeling,1,upcycling,1
sedimentology,9,apartment,1
geochemistry,19,pest-management,1
global-warming,3,cooling,2
climate-change,24,air-conditioning,3
ice-sheets,6,cleaning,3
groundwater,49,alternatives,1
nao,1,reduce,1
modelling,1,solar-power,4
plate-tectonics,5,renewables,3
hypothetical,4,treatment,1
water,85,life-cycle-analysis,1
mountains,4,building-materials,1
atlantic,3,health,1
greenland,2,wind-power,2
instrumentation,1,reuse,3
meteorology,24,plants,2
temperature,17,water-footprint,3
earth-history,8,permaculture,1
pollution,5,boat,1
mineralogy,6,environmental-impact,2
eddies,3,solar-thermal,2
geobiology,1,toilet,1
carbonate,1,electricity-generation,2
bathymetry,2,aquaponics,2
earth-rotation,4,fish,1
geospatial,1,plastic,1
numerical-modelling,6,housing,1
soil,6,renting,1
ice-age,2,hydroelectricity,1
scaling,1,hydroponics,1
glacier,3,,
water-vapour,12,,
earthquakes,3,,
wind,8,,
seismology,2,,
volcanology,3,,
stratigraphy,1,,
erosion,2,,
fluid-dynamics,4,,
turbulence,2,,
simulation,1,,
climatology,1,,
topography,2,,
solitary-waves,1,,
moon,2,,
human-influence,3,,
geothermal-heat,5,,
hydrothermal-vents,3,,
earth-system,2,,
glaciology,4,,
land-surface,3,,
forest,1,,
barometric-pressure,5,,
desert,6,,
mars,3,,
co2,3,,
mediterranean,1,,
open-data,5,,
geomythology,1,,
flooding,5,,
glaciation,1,,
homework,6,,
tropical-cyclone,3,,
earth-observation,1,,
visualization,2,,
ice,8,,
carbon,5,,
mud-volcano,1,,
sea-floor,3,,
wave-modeling,6,,
carbon-cycle,2,,
biogeochemistry,4,,
drought,2,,
rocks,3,,
limestone,1,,
mining,1,,
rainfall,5,,
astrobiology,2,,
evaporation,2,,
arctic,3,,
dynamics,1,,
coastal,4,,
pacific,2,,
crystals,1,,
petroleum,2,,
geomorphology,3,,
meteorite,3,,
reference-request,2,,
ecology,2,,
evolution,1,,
geography,2,,
isotopic,1,,
planetary-formation,1,,
planetary-boundary-layer,1,,
thermodynamics,4,,
urban-climate,1,,
tectonics,2,,
mantle,1,,
world-building,1,,
hydrogeology,9,,
greenhouse-gases,1,,
geoengineering,2,,
paleontology,1,,
environmental-protection,3,,
moisture-flux,1,,
snow,1,,
agriculture,2,,
runoff,1,,
axial-obliquity,1,,
satellites,1,,
humidity,1,,
uranium,1,,
unsaturated-zone,3,,
statistics,1,,
mass-extinction,1,,
land,2,,
ice-shelf,2,,
canada,1,,
matlab,1,,
electromagnetism,1,,
air-currents,1,,
regional-geology,1,,
dams,2,,
tibetan-plateau,1,,
mapping,1,,
nitrogen,1,,
crust,1,,
magmatism,1,,
igneous,1,,
age,1,,
estuary,2,,
turbidity,1,,
land-surface-models,1,,
lakes,3,,
underground-water,4,,
dating,1,,
seasons,1,,
sun,2,,
light,1,,
gravity,1,,
fossil-fuel,1,,
contamination,1,,
minerals,3,,
identification-request,1,,
plastic,1,,
waste,1,,
gis,1,,
solar-terrestrial-physics,1,,
natural-disasters,1,,
