User Location, Question-ID(s)
Antwerpen- België,20
Napier- New Zealand,4353
United States,4375-75-776-5271
Bloomington- IN,169
Netherlands,18-5866
Pittsburgh- PA,281
London- Europe,1036
Czech Republic,4644
Houston- TX,71
Brisbane- Queensland- Australia,6233
US,172
Australia,103
Earth,604
Dallas- TX,246
Mexico City,2353
India,1158-5198
California,2563
London,865
Falls Church- VA,1129
Bangladesh,1267
New York- United States,1223
Atlanta- GA- USA,2319
Malvern- United Kingdom,5959
United States / Germany,2714
Montpelier- VT- USA,2755
Sarajevo- Bosnia and Herzegovina,2984
Long Island,6136
On Internet,4281
Bangalore,4541
Columbus- Ohio,5130
Guildford- United Kingdom,4659
Brazil,4691
Denver- CO- United States,6468
Norway,5354
Berkeley- CA- United States,5360
Galway- Ireland,6337
